"Step","edited_books_2_200 - train_loss","edited_books_2_200 - train_loss__MIN","edited_books_2_200 - train_loss__MAX","normal_books_2_200 - train_loss","normal_books_2_200 - train_loss__MIN","normal_books_2_200 - train_loss__MAX"
"1","8.80854022313678","8.80854022313678","8.80854022313678","8.709826219649543","8.709826219649543","8.709826219649543"
"4","7.393415708390493","7.393415708390493","7.393415708390493","7.488202148013645","7.488202148013645","7.488202148013645"
"7","7.131336318122016","7.131336318122016","7.131336318122016","7.154170475308857","7.154170475308857","7.154170475308857"
"10","6.960337373945448","6.960337373945448","6.960337373945448","6.967176467653305","6.967176467653305","6.967176467653305"
"13","6.799190014127701","6.799190014127701","6.799190014127701","6.807259741283598","6.807259741283598","6.807259741283598"
"16","6.709653551616366","6.709653551616366","6.709653551616366","6.712459670172797","6.712459670172797","6.712459670172797"
"19","6.664739676884243","6.664739676884243","6.664739676884243","6.6099097766573465","6.6099097766573465","6.6099097766573465"
"22","6.582918273078071","6.582918273078071","6.582918273078071","6.186259928203764","6.186259928203764","6.186259928203764"
"25","6.540658125801692","6.540658125801692","6.540658125801692","5.937652285136874","5.937652285136874","5.937652285136874"
"28","6.502182809133378","6.502182809133378","6.502182809133378","5.769326527913411","5.769326527913411","5.769326527913411"
"31","6.3612329013763915","6.3612329013763915","6.3612329013763915","5.654119612678649","5.654119612678649","5.654119612678649"
"34","6.006526772938077","6.006526772938077","6.006526772938077","5.5456829449487115","5.5456829449487115","5.5456829449487115"
"37","5.811080107613216","5.811080107613216","5.811080107613216","5.480133964901879","5.480133964901879","5.480133964901879"
"40","5.688680762336368","5.688680762336368","5.688680762336368","5.41120918213375","5.41120918213375","5.41120918213375"
"43","5.584859159257677","5.584859159257677","5.584859159257677","5.3499022287035745","5.3499022287035745","5.3499022287035745"
"46","5.505081562768845","5.505081562768845","5.505081562768845","5.2931381028796","5.2931381028796","5.2931381028796"
"49","5.4441296183873735","5.4441296183873735","5.4441296183873735","5.235886929527162","5.235886929527162","5.235886929527162"
"52","5.379293025486053","5.379293025486053","5.379293025486053","5.18732540191166","5.18732540191166","5.18732540191166"
"55","5.329749440389966","5.329749440389966","5.329749440389966","5.144637970697312","5.144637970697312","5.144637970697312"
"58","5.279647145952497","5.279647145952497","5.279647145952497","5.100271376352461","5.100271376352461","5.100271376352461"
"61","5.231286298661005","5.231286298661005","5.231286298661005","5.059023069956946","5.059023069956946","5.059023069956946"
"64","5.1913060612148705","5.1913060612148705","5.1913060612148705","5.020281905219669","5.020281905219669","5.020281905219669"
"67","5.143304189046224","5.143304189046224","5.143304189046224","4.9894516884334505","4.9894516884334505","4.9894516884334505"
"70","5.10851097863818","5.10851097863818","5.10851097863818","4.951297760009766","4.951297760009766","4.951297760009766"
"73","5.071438161153642","5.071438161153642","5.071438161153642","4.914574115995377","4.914574115995377","4.914574115995377"
"76","5.04092770531064","5.04092770531064","5.04092770531064","4.881874629429409","4.881874629429409","4.881874629429409"
"79","5.007082386622353","5.007082386622353","5.007082386622353","4.853484691135467","4.853484691135467","4.853484691135467"
"82","4.978648261418418","4.978648261418418","4.978648261418418","4.824341062515501","4.824341062515501","4.824341062515501"
"85","4.94782475062779","4.94782475062779","4.94782475062779","4.794079621632894","4.794079621632894","4.794079621632894"
"88","4.920453571137928","4.920453571137928","4.920453571137928","4.767587404402476","4.767587404402476","4.767587404402476"
"91","4.892273675827753","4.892273675827753","4.892273675827753","4.741382939474923","4.741382939474923","4.741382939474923"
"94","4.868457309783451","4.868457309783451","4.868457309783451","4.718094560835096","4.718094560835096","4.718094560835096"
"97","4.84577611136058","4.84577611136058","4.84577611136058","4.689514220707","4.689514220707","4.689514220707"
"100","4.82111092219277","4.82111092219277","4.82111092219277","4.668947159297883","4.668947159297883","4.668947159297883"
"103","4.800655069805327","4.800655069805327","4.800655069805327","4.645963131435334","4.645963131435334","4.645963131435334"
"106","4.77807278860183","4.77807278860183","4.77807278860183","4.624390057155064","4.624390057155064","4.624390057155064"
"109","4.757457369849796","4.757457369849796","4.757457369849796","4.605965954916818","4.605965954916818","4.605965954916818"
"112","4.736772469111851","4.736772469111851","4.736772469111851","4.5852160983615455","4.5852160983615455","4.5852160983615455"
"115","4.719741526104155","4.719741526104155","4.719741526104155","4.56337969643729","4.56337969643729","4.56337969643729"
"118","4.702027078658816","4.702027078658816","4.702027078658816","4.55019489924113","4.55019489924113","4.55019489924113"
"121","4.684707043662904","4.684707043662904","4.684707043662904","4.528532883477589","4.528532883477589","4.528532883477589"
"124","4.668067296346028","4.668067296346028","4.668067296346028","4.51587584662059","4.51587584662059","4.51587584662059"
"127","4.651540067460802","4.651540067460802","4.651540067460802","4.500235739208403","4.500235739208403","4.500235739208403"
"130","4.63839194131276","4.63839194131276","4.63839194131276","4.487120734320746","4.487120734320746","4.487120734320746"
"133","4.625168754940941","4.625168754940941","4.625168754940941","4.4736944985768154","4.4736944985768154","4.4736944985768154"
"136","4.609595435006278","4.609595435006278","4.609595435006278","4.458468240404886","4.458468240404886","4.458468240404886"
"139","4.597350839584593","4.597350839584593","4.597350839584593","4.447585711403499","4.447585711403499","4.447585711403499"
"142","4.586176524086604","4.586176524086604","4.586176524086604","4.438141588180784","4.438141588180784","4.438141588180784"
"145","4.574351628621419","4.574351628621419","4.574351628621419","4.424046069856674","4.424046069856674","4.424046069856674"
"148","4.563221537877643","4.563221537877643","4.563221537877643","4.416339685046483","4.416339685046483","4.416339685046483"
"151","4.552636169251942","4.552636169251942","4.552636169251942","4.404005009030539","4.404005009030539","4.404005009030539"
"154","4.543320489308191","4.543320489308191","4.543320489308191","4.393577991970002","4.393577991970002","4.393577991970002"
"157","4.531545729864211","4.531545729864211","4.531545729864211","4.384620942766705","4.384620942766705","4.384620942766705"
"160","4.524984064556303","4.524984064556303","4.524984064556303","4.3761262931520974","4.3761262931520974","4.3761262931520974"
"163","4.515519891466413","4.515519891466413","4.515519891466413","4.366609694465758","4.366609694465758","4.366609694465758"
"166","4.507253616575211","4.507253616575211","4.507253616575211","4.359539554232643","4.359539554232643","4.359539554232643"
