"Step","Edited GRU languages 1024 - batch_loss","Edited GRU languages 1024 - batch_loss__MIN","Edited GRU languages 1024 - batch_loss__MAX","Original GRU languages 1024 - batch_loss","Original GRU languages 1024 - batch_loss__MIN","Original GRU languages 1024 - batch_loss__MAX","Edited GRU languages 512 - batch_loss","Edited GRU languages 512 - batch_loss__MIN","Edited GRU languages 512 - batch_loss__MAX","Original GRU languages 512 - batch_loss","Original GRU languages 512 - batch_loss__MIN","Original GRU languages 512 - batch_loss__MAX","Edited GRU languages 256 - batch_loss","Edited GRU languages 256 - batch_loss__MIN","Edited GRU languages 256 - batch_loss__MAX","Original GRU languages 256 - batch_loss","Original GRU languages 256 - batch_loss__MIN","Original GRU languages 256 - batch_loss__MAX"
"503","8.839662551879883","8.839662551879883","8.839662551879883","6.593597739934921","6.593597739934921","6.593597739934921","6.765928238630295","6.765928238630295","6.765928238630295","6.710929185152054","6.710929185152054","6.710929185152054","6.544804006814957","6.544804006814957","6.544804006814957","6.918521672487259","6.918521672487259","6.918521672487259"
"527","8.811856240034103","8.811856240034103","8.811856240034103","6.707931488752365","6.707931488752365","6.707931488752365","6.546248704195023","6.546248704195023","6.546248704195023","6.59605485200882","6.59605485200882","6.59605485200882","6.422536104917526","6.422536104917526","6.422536104917526","6.8521645069122314","6.8521645069122314","6.8521645069122314"
"551","8.762667089700699","8.762667089700699","8.762667089700699","6.511835366487503","6.511835366487503","6.511835366487503","6.244983643293381","6.244983643293381","6.244983643293381","6.414271593093872","6.414271593093872","6.414271593093872","6.255345404148102","6.255345404148102","6.255345404148102","6.703277736902237","6.703277736902237","6.703277736902237"
"575","8.702383369207382","8.702383369207382","8.702383369207382","6.387853056192398","6.387853056192398","6.387853056192398","6.08659303188324","6.08659303188324","6.08659303188324","6.306475877761841","6.306475877761841","6.306475877761841","6.032102316617966","6.032102316617966","6.032102316617966","6.5171564519405365","6.5171564519405365","6.5171564519405365"
"599","8.638025104999542","8.638025104999542","8.638025104999542","6.211169749498367","6.211169749498367","6.211169749498367","5.923814296722412","5.923814296722412","5.923814296722412","6.173045292496681","6.173045292496681","6.173045292496681","5.881559297442436","5.881559297442436","5.881559297442436","6.40464249253273","6.40464249253273","6.40464249253273"
"623","8.647109001874924","8.647109001874924","8.647109001874924","6.181666433811188","6.181666433811188","6.181666433811188","5.661152437329292","5.661152437329292","5.661152437329292","6.049153000116348","6.049153000116348","6.049153000116348","5.773279443383217","5.773279443383217","5.773279443383217","6.353835731744766","6.353835731744766","6.353835731744766"
"647","8.60687467455864","8.60687467455864","8.60687467455864","6.03363510966301","6.03363510966301","6.03363510966301","5.4588408172130585","5.4588408172130585","5.4588408172130585","5.974578022956848","5.974578022956848","5.974578022956848","5.5200454741716385","5.5200454741716385","5.5200454741716385","6.278306275606155","6.278306275606155","6.278306275606155"
"671","8.476234525442123","8.476234525442123","8.476234525442123","5.931768402457237","5.931768402457237","5.931768402457237","5.265354633331299","5.265354633331299","5.265354633331299","5.804655626416206","5.804655626416206","5.804655626416206","5.40938763320446","5.40938763320446","5.40938763320446","6.196392178535461","6.196392178535461","6.196392178535461"
"695","8.486729979515076","8.486729979515076","8.486729979515076","5.924222469329834","5.924222469329834","5.924222469329834","5.083555951714516","5.083555951714516","5.083555951714516","5.708919018507004","5.708919018507004","5.708919018507004","5.260314628481865","5.260314628481865","5.260314628481865","6.095461741089821","6.095461741089821","6.095461741089821"
"719","8.37928295135498","8.37928295135498","8.37928295135498","5.819477409124374","5.819477409124374","5.819477409124374","4.7781242579221725","4.7781242579221725","4.7781242579221725","5.531185671687126","5.531185671687126","5.531185671687126","5.135359734296799","5.135359734296799","5.135359734296799","6.082006111741066","6.082006111741066","6.082006111741066"
