"Step","edited_3_books_200 - train_loss","edited_3_books_200 - train_loss__MIN","edited_3_books_200 - train_loss__MAX","normal_books_200 - train_loss","normal_books_200 - train_loss__MIN","normal_books_200 - train_loss__MAX"
"1","13.23937026977539","13.23937026977539","13.23937026977539","9.775227947235107","9.775227947235107","9.775227947235107"
"4","10.102162189483643","10.102162189483643","10.102162189483643","8.172953453063965","8.172953453063965","8.172953453063965"
"7","9.332472248077393","9.332472248077393","9.332472248077393","7.664995365142822","7.664995365142822","7.664995365142822"
"10","8.102483825683594","8.102483825683594","8.102483825683594","7.3899673652648925","7.3899673652648925","7.3899673652648925"
"13","7.780106735229492","7.780106735229492","7.780106735229492","7.25890733718872","7.25890733718872","7.25890733718872"
"16","7.186715679168701","7.186715679168701","7.186715679168701","7.147481689453125","7.147481689453125","7.147481689453125"
"19","6.932546405792237","6.932546405792237","6.932546405792237","6.954224624633789","6.954224624633789","6.954224624633789"
"22","6.837159824371338","6.837159824371338","6.837159824371338","6.851430015563965","6.851430015563965","6.851430015563965"
"25","6.830205593109131","6.830205593109131","6.830205593109131","6.842575798034668","6.842575798034668","6.842575798034668"
"28","6.582994537353516","6.582994537353516","6.582994537353516","6.777788906097412","6.777788906097412","6.777788906097412"
"31","6.425936050415039","6.425936050415039","6.425936050415039","6.706624622344971","6.706624622344971","6.706624622344971"
"34","6.253625011444091","6.253625011444091","6.253625011444091","6.69084545135498","6.69084545135498","6.69084545135498"
"37","6.084313869476318","6.084313869476318","6.084313869476318","6.653145618438721","6.653145618438721","6.653145618438721"
"40","5.954837532043457","5.954837532043457","5.954837532043457","6.630546779632568","6.630546779632568","6.630546779632568"
"43","5.847988300323486","5.847988300323486","5.847988300323486","6.611237201690674","6.611237201690674","6.611237201690674"
"46","5.774472713470459","5.774472713470459","5.774472713470459","6.599296398162842","6.599296398162842","6.599296398162842"
"49","5.68783124923706","5.68783124923706","5.68783124923706","6.592368297576904","6.592368297576904","6.592368297576904"
"52","5.61931547164917","5.61931547164917","5.61931547164917","6.5799587059021","6.5799587059021","6.5799587059021"
"55","5.556154003143311","5.556154003143311","5.556154003143311","6.5683451271057125","6.5683451271057125","6.5683451271057125"
"58","5.505595359802246","5.505595359802246","5.505595359802246","6.539650478363037","6.539650478363037","6.539650478363037"
