"Step","edited_3_scripts_200 - train_loss","edited_3_scripts_200 - train_loss__MIN","edited_3_scripts_200 - train_loss__MAX","normal_scripts_200 - train_loss","normal_scripts_200 - train_loss__MIN","normal_scripts_200 - train_loss__MAX"
"61","5.828884220123291","5.828884220123291","5.828884220123291","6.413559799194336","6.413559799194336","6.413559799194336"
"64","5.747721481323242","5.747721481323242","5.747721481323242","6.304843826293945","6.304843826293945","6.304843826293945"
"67","5.665310249328614","5.665310249328614","5.665310249328614","6.212966079711914","6.212966079711914","6.212966079711914"
"70","5.588022193908691","5.588022193908691","5.588022193908691","6.122429828643799","6.122429828643799","6.122429828643799"
"73","5.518602066040039","5.518602066040039","5.518602066040039","6.049138946533203","6.049138946533203","6.049138946533203"
"76","5.451948223114013","5.451948223114013","5.451948223114013","5.965365734100342","5.965365734100342","5.965365734100342"
"79","5.384475650787354","5.384475650787354","5.384475650787354","5.893040256500244","5.893040256500244","5.893040256500244"
"82","5.322229690551758","5.322229690551758","5.322229690551758","5.830078182220459","5.830078182220459","5.830078182220459"
"85","5.265148639678955","5.265148639678955","5.265148639678955","5.766012058258057","5.766012058258057","5.766012058258057"
"88","5.207346687316894","5.207346687316894","5.207346687316894","5.7085123634338375","5.7085123634338375","5.7085123634338375"
"91","5.156263561248779","5.156263561248779","5.156263561248779","5.648779487609863","5.648779487609863","5.648779487609863"
"94","5.105653839111328","5.105653839111328","5.105653839111328","5.583462028503418","5.583462028503418","5.583462028503418"
"97","5.059758281707763","5.059758281707763","5.059758281707763","5.537523460388184","5.537523460388184","5.537523460388184"
"100","5.014064884185791","5.014064884185791","5.014064884185791","5.484212245941162","5.484212245941162","5.484212245941162"
"103","4.9725068664550784","4.9725068664550784","4.9725068664550784","5.4410123443603515","5.4410123443603515","5.4410123443603515"
"106","4.927173271179199","4.927173271179199","4.927173271179199","5.397944030761718","5.397944030761718","5.397944030761718"
"109","4.887502002716064","4.887502002716064","4.887502002716064","5.352308845520019","5.352308845520019","5.352308845520019"
"112","4.853362197875977","4.853362197875977","4.853362197875977","5.305354385375977","5.305354385375977","5.305354385375977"
"115","4.817392883300781","4.817392883300781","4.817392883300781","5.270345001220703","5.270345001220703","5.270345001220703"
"118","4.783954982757568","4.783954982757568","4.783954982757568","5.232572116851807","5.232572116851807","5.232572116851807"
"121","4.750602493286133","4.750602493286133","4.750602493286133","5.195354900360107","5.195354900360107","5.195354900360107"
