"Step","Edited GRU books 1024 - batch_loss","Edited GRU books 1024 - batch_loss__MIN","Edited GRU books 1024 - batch_loss__MAX","Original GRU books 1024 - batch_loss","Original GRU books 1024 - batch_loss__MIN","Original GRU books 1024 - batch_loss__MAX","Edited GRU books 512 - batch_loss","Edited GRU books 512 - batch_loss__MIN","Edited GRU books 512 - batch_loss__MAX","Original GRU books 512 - batch_loss","Original GRU books 512 - batch_loss__MIN","Original GRU books 512 - batch_loss__MAX","Edited GRU books 256 - batch_loss","Edited GRU books 256 - batch_loss__MIN","Edited GRU books 256 - batch_loss__MAX","Original GRU books 256 - batch_loss","Original GRU books 256 - batch_loss__MIN","Original GRU books 256 - batch_loss__MAX"
"3508","52.15761374682188","52.15761374682188","52.15761374682188","42.82446210458875","42.82446210458875","42.82446210458875","42.158902334049344","42.158902334049344","42.158902334049344","41.06741179153323","41.06741179153323","41.06741179153323","46.02670892328024","46.02670892328024","46.02670892328024","46.509479999542236","46.509479999542236","46.509479999542236"
"3827","48.57439586520195","48.57439586520195","48.57439586520195","42.204629331827164","42.204629331827164","42.204629331827164","41.5015616863966","41.5015616863966","41.5015616863966","39.46424230188131","39.46424230188131","39.46424230188131","43.958795964717865","43.958795964717865","43.958795964717865","44.254944298416376","44.254944298416376","44.254944298416376"
"4146","46.81239064782858","46.81239064782858","46.81239064782858","40.47695257887244","40.47695257887244","40.47695257887244","41.386830139905214","41.386830139905214","41.386830139905214","39.896817333996296","39.896817333996296","39.896817333996296","43.86816329881549","43.86816329881549","43.86816329881549","43.10810185968876","43.10810185968876","43.10810185968876"
"4465","45.14925001934171","45.14925001934171","45.14925001934171","40.06305030360818","40.06305030360818","40.06305030360818","40.4515065215528","40.4515065215528","40.4515065215528","38.745277531445026","38.745277531445026","38.745277531445026","43.128674760460854","43.128674760460854","43.128674760460854","43.25552736595273","43.25552736595273","43.25552736595273"
"4784","45.17180758714676","45.17180758714676","45.17180758714676","40.38293633982539","40.38293633982539","40.38293633982539","39.85390933230519","39.85390933230519","39.85390933230519","36.727064568549395","36.727064568549395","36.727064568549395","41.29722258076072","41.29722258076072","41.29722258076072","42.330455992370844","42.330455992370844","42.330455992370844"
"5103","43.39216645807028","43.39216645807028","43.39216645807028","38.69094342365861","38.69094342365861","38.69094342365861","38.94904734566808","38.94904734566808","38.94904734566808","36.45646848902106","36.45646848902106","36.45646848902106","40.74434086307883","40.74434086307883","40.74434086307883","41.344739485532045","41.344739485532045","41.344739485532045"
"5422","43.88039469346404","43.88039469346404","43.88039469346404","37.88791147433221","37.88791147433221","37.88791147433221","37.13009674847126","37.13009674847126","37.13009674847126","35.589920189231634","35.589920189231634","35.589920189231634","40.133393205702305","40.133393205702305","40.133393205702305","41.682634364813566","41.682634364813566","41.682634364813566"
"5741","43.243577279150486","43.243577279150486","43.243577279150486","38.126897782087326","38.126897782087326","38.126897782087326","37.70212419889867","37.70212419889867","37.70212419889867","34.84530781954527","34.84530781954527","34.84530781954527","40.38597531989217","40.38597531989217","40.38597531989217","40.065710462629795","40.065710462629795","40.065710462629795"
"6060","","","","38.894903153181076","38.894903153181076","38.894903153181076","37.08578324317932","37.08578324317932","37.08578324317932","33.89451365917921","33.89451365917921","33.89451365917921","40.260687459260225","40.260687459260225","40.260687459260225","40.23107871040702","40.23107871040702","40.23107871040702"
"6379","","","","36.80820072814822","36.80820072814822","36.80820072814822","36.151818219572306","36.151818219572306","36.151818219572306","33.121407037600875","33.121407037600875","33.121407037600875","38.718823639675975","38.718823639675975","38.718823639675975","39.30859972536564","39.30859972536564","39.30859972536564"
