"Step","edited_3_reviews_200 - train_loss","edited_3_reviews_200 - train_loss__MIN","edited_3_reviews_200 - train_loss__MAX","normal_reviews_200 - train_loss","normal_reviews_200 - train_loss__MIN","normal_reviews_200 - train_loss__MAX"
"1","8.383310817620334","8.383310817620334","8.383310817620334","7.787587423534954","7.787587423534954","7.787587423534954"
"4","6.2287046909332275","6.2287046909332275","6.2287046909332275","6.923549899283578","6.923549899283578","6.923549899283578"
"7","5.728369700558045","5.728369700558045","5.728369700558045","6.135715267237495","6.135715267237495","6.135715267237495"
"10","5.517047198379741","5.517047198379741","5.517047198379741","5.673765920540866","5.673765920540866","5.673765920540866"
"13","5.3927075845353745","5.3927075845353745","5.3927075845353745","5.488232375944362","5.488232375944362","5.488232375944362"
"16","5.299930372658898","5.299930372658898","5.299930372658898","5.37692047217313","5.37692047217313","5.37692047217313"
"19","5.2256109083400055","5.2256109083400055","5.2256109083400055","5.292973167756024","5.292973167756024","5.292973167756024"
"22","5.160036909229615","5.160036909229615","5.160036909229615","5.221246410818661","5.221246410818661","5.221246410818661"
"25","5.101236369679956","5.101236369679956","5.101236369679956","5.159323715111789","5.159323715111789","5.159323715111789"
"28","5.045622250613044","5.045622250613044","5.045622250613044","5.104234788347693","5.104234788347693","5.104234788347693"
"31","4.999538807307973","4.999538807307973","4.999538807307973","5.05382683522561","5.05382683522561","5.05382683522561"
"34","4.949886627057019","4.949886627057019","4.949886627057019","5.005199243040646","5.005199243040646","5.005199243040646"
"37","4.907705661128549","4.907705661128549","4.907705661128549","4.961403923876145","4.961403923876145","4.961403923876145"
"40","4.864348211709191","4.864348211709191","4.864348211709191","4.919623599332922","4.919623599332922","4.919623599332922"
"43","4.824760703479543","4.824760703479543","4.824760703479543","4.879886877887389","4.879886877887389","4.879886877887389"
"46","4.7863894665942475","4.7863894665942475","4.7863894665942475","4.844003963119843","4.844003963119843","4.844003963119843"
"49","4.751621328732547","4.751621328732547","4.751621328732547","4.809044075362823","4.809044075362823","4.809044075362823"
"52","4.715830278747222","4.715830278747222","4.715830278747222","4.773770660161972","4.773770660161972","4.773770660161972"
"55","4.681843994294896","4.681843994294896","4.681843994294896","4.74234202504158","4.74234202504158","4.74234202504158"
"58","4.650364995002747","4.650364995002747","4.650364995002747","4.711961399106419","4.711961399106419","4.711961399106419"
"61","4.621465621625676","4.621465621625676","4.621465621625676","4.6812459598569305","4.6812459598569305","4.6812459598569305"
"64","4.59121964433614","4.59121964433614","4.59121964433614","4.653960566310322","4.653960566310322","4.653960566310322"
"67","4.563443650217617","4.563443650217617","4.563443650217617","4.626742071965161","4.626742071965161","4.626742071965161"
"70","4.537838567705715","4.537838567705715","4.537838567705715","4.599377055378521","4.599377055378521","4.599377055378521"
"73","4.512431625057669","4.512431625057669","4.512431625057669","4.5732738550971535","4.5732738550971535","4.5732738550971535"
"76","4.489640507627936","4.489640507627936","4.489640507627936","4.549371593138751","4.549371593138751","4.549371593138751"
"79","4.465912328046911","4.465912328046911","4.465912328046911","4.526636454988928","4.526636454988928","4.526636454988928"
"82","4.445425761096618","4.445425761096618","4.445425761096618","4.503021883613923","4.503021883613923","4.503021883613923"
"85","4.425495761282304","4.425495761282304","4.425495761282304","4.480947275372112","4.480947275372112","4.480947275372112"
"88","4.406269182177151","4.406269182177151","4.406269182177151","4.4594429591122795","4.4594429591122795","4.4594429591122795"
"91","4.387857025160509","4.387857025160509","4.387857025160509","4.438272490220911","4.438272490220911","4.438272490220911"
"94","4.3714339242262","4.3714339242262","4.3714339242262","4.421105493517483","4.421105493517483","4.421105493517483"
"97","4.354664662305047","4.354664662305047","4.354664662305047","4.402772386284435","4.402772386284435","4.402772386284435"
"100","4.338352715267854","4.338352715267854","4.338352715267854","4.386728579507155","4.386728579507155","4.386728579507155"
"103","4.326136261224747","4.326136261224747","4.326136261224747","4.370198065743727","4.370198065743727","4.370198065743727"
"106","4.31188890337944","4.31188890337944","4.31188890337944","4.355393953183118","4.355393953183118","4.355393953183118"
"109","4.299741652081995","4.299741652081995","4.299741652081995","4.340989516061895","4.340989516061895","4.340989516061895"
"112","4.2879184519543365","4.2879184519543365","4.2879184519543365","4.326650509062936","4.326650509062936","4.326650509062936"
"115","4.275899170076146","4.275899170076146","4.275899170076146","4.314530011485605","4.314530011485605","4.314530011485605"
"118","4.267140726832783","4.267140726832783","4.267140726832783","4.302618959370782","4.302618959370782","4.302618959370782"
"121","4.255950719118118","4.255950719118118","4.255950719118118","4.2909513589213875","4.2909513589213875","4.2909513589213875"
"124","4.245900513494716","4.245900513494716","4.245900513494716","4.280096090891782","4.280096090891782","4.280096090891782"
"127","4.236264210413484","4.236264210413484","4.236264210413484","4.269430909963215","4.269430909963215","4.269430909963215"
"130","4.229422141523922","4.229422141523922","4.229422141523922","4.259622419581694","4.259622419581694","4.259622419581694"
"133","4.220216488136964","4.220216488136964","4.220216488136964","4.250315190238111","4.250315190238111","4.250315190238111"
"136","4.214356972890742","4.214356972890742","4.214356972890742","4.241944796898785","4.241944796898785","4.241944796898785"
"139","4.206353263819919","4.206353263819919","4.206353263819919","4.2337772521902535","4.2337772521902535","4.2337772521902535"
"142","4.199475753833266","4.199475753833266","4.199475753833266","4.226052100167555","4.226052100167555","4.226052100167555"
"145","4.1936316621654175","4.1936316621654175","4.1936316621654175","4.219887337263892","4.219887337263892","4.219887337263892"
"148","4.185904943767716","4.185904943767716","4.185904943767716","4.211326877860462","4.211326877860462","4.211326877860462"
